animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,-1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,-1
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,-1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,-1
